Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"BCLAF1","BCL2 Associated Transcription Factor 1","Protein Coding","Q9NYF8","51","GC06M136256","5.92161178588867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCLAF1"
"SLC35C2","Solute Carrier Family 35 Member C2","Protein Coding","Q9NQQ7","48","GC20M046345","5.91947937011719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC35C2"
"TNFSF14","TNF Superfamily Member 14","Protein Coding","O43557","51","GC19M096009","5.91887283325195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF14"
"IFNA4","Interferon Alpha 4","Protein Coding","P05014","46","GC09M021186","5.9159255027771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA4"
"LOC126862549","BRD4-Independent Group 4 Enhancer GRCh37_chr17:36093401-36094600","Functional Element","","9","GC17P125287","5.91387939453125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126862549"
"ACTN2","Actinin Alpha 2","Protein Coding","P35609","59","GC01P236686","5.91360759735107","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTN2"
"RPS2","Ribosomal Protein S2","Protein Coding","P15880","51","GC16M025575","5.91271305084229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS2"
"AIPL1","Aryl Hydrocarbon Receptor Interacting Protein Like 1","Protein Coding","Q9NZN9","54","GC17M006393","5.91216468811035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIPL1"
"RNF2","Ring Finger Protein 2","Protein Coding","Q99496","56","GC01P185045","5.91205263137817","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF2"
"IFNA5","Interferon Alpha 5","Protein Coding","P01569","51","GC09M021304","5.91190242767334","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA5"
"CLUAP1","Clusterin Associated Protein 1","Protein Coding","Q96AJ1","47","GC16P095864","5.90886211395264","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLUAP1"
"UBAP2L","Ubiquitin Associated Protein 2 Like","Protein Coding","Q14157","44","GC01P167192","5.90879535675049","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBAP2L"
"ITLN1","Intelectin 1","Protein Coding","Q8WWA0","52","GC01M160876","5.90828132629395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITLN1"
"PPP3CA","Protein Phosphatase 3 Catalytic Subunit Alpha","Protein Coding","Q08209","64","GC04M101024","5.90801334381104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP3CA"
"MEF2D","Myocyte Enhancer Factor 2D","Protein Coding","Q14814","56","GC01M156463","5.90541172027588","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEF2D"
"NEK10","NIMA Related Kinase 10","Protein Coding","Q6ZWH5","47","GC03M027369","5.90456771850586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK10"
"ISCU","Iron-Sulfur Cluster Assembly Enzyme","Protein Coding","Q9H1K1","58","GC12P108561","5.90237140655518","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ISCU"
"ATF7IP","Activating Transcription Factor 7 Interacting Protein","Protein Coding","Q6VMQ6","47","GC12P014365","5.90091562271118","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF7IP"
"PRODH","Proline Dehydrogenase 1","Protein Coding","O43272","58","GC22M018912","5.90089416503906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRODH"
"GRIK2","Glutamate Ionotropic Receptor Kainate Type Subunit 2","Protein Coding","Q13002","62","GC06P100962","5.8999137878418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIK2"
"SRRM3","Serine/Arginine Repetitive Matrix 3","Protein Coding","A6NNA2","44","GC07P076201","5.89484786987305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRRM3"
"GSDMA","Gasdermin A","Protein Coding","Q96QA5","46","GC17P122967","5.89441394805908","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSDMA"
"CACNB2","Calcium Voltage-Gated Channel Auxiliary Subunit Beta 2","Protein Coding","Q08289","59","GC10P018141","5.89376783370972","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNB2"
"ADGRE5","Adhesion G Protein-Coupled Receptor E5","Protein Coding","P48960","55","GC19P122511","5.89298677444458","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRE5"
"HSPA14","Heat Shock Protein Family A (Hsp70) Member 14","Protein Coding","Q0VDF9","49","GC10P014860","5.89175415039063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA14"
"PNKD","PNKD Metallo-Beta-Lactamase Domain Containing","Protein Coding","Q8N490","54","GC02P218270","5.89123249053955","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNKD"
"AJUBA","Ajuba LIM Protein","Protein Coding","Q96IF1","49","GC14M022971","5.89121341705322","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AJUBA"
"PASK","PAS Domain Containing Serine/Threonine Kinase","Protein Coding","Q96RG2","52","GC02M241106","5.89050149917603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PASK"
"TSPAN32","Tetraspanin 32","Protein Coding","Q96QS1","42","GC11P012323","5.88880014419556","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPAN32"
"KRT6A","Keratin 6A","Protein Coding","P02538","56","GC12M052488","5.88656282424927","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT6A"
"DOK7","Docking Protein 7","Protein Coding","Q18PE1","51","GC04P004840","5.88600254058838","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOK7"
"SHANK3","SH3 And Multiple Ankyrin Repeat Domains 3","Protein Coding","Q9BYB0","52","GC22P076396","5.88465976715088","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHANK3"
"PLAAT3","Phospholipase A And Acyltransferase 3","Protein Coding","P53816","49","GC11M128895","5.8818187713623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAAT3"
"PPP1R14C","Protein Phosphatase 1 Regulatory Inhibitor Subunit 14C","Protein Coding","Q8TAE6","48","GC06P150143","5.87434911727905","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R14C"
"TRMT10C","TRNA Methyltransferase 10C, Mitochondrial RNase P Subunit","Protein Coding","Q7L0Y3","49","GC03P101561","5.87420272827148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRMT10C"
"EFNB1","Ephrin B1","Protein Coding","P98172","58","GC0XP068828","5.87141704559326","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFNB1"
"PZP","PZP Alpha-2-Macroglobulin Like","Protein Coding","P20742","55","GC12M030807","5.87085914611816","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PZP"
"PMPCA","Peptidase, Mitochondrial Processing Subunit Alpha","Protein Coding","Q10713","56","GC09P136410","5.87058544158936","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMPCA"
"ADH4","Alcohol Dehydrogenase 4 (Class II), Pi Polypeptide","Protein Coding","P08319","57","GC04M099123","5.86970663070679","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADH4"
"LTB","Lymphotoxin Beta","Protein Coding","Q06643","52","GC06M097108","5.86719131469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTB"
"KCNA1","Potassium Voltage-Gated Channel Subfamily A Member 1","Protein Coding","Q09470","58","GC12P042065","5.86617088317871","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNA1"
"FBP2","Fructose-Bisphosphatase 2","Protein Coding","O00757","54","GC09M094558","5.86596727371216","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBP2"
"IRAG2","Inositol 1,4,5-Triphosphate Receptor Associated 2","Protein Coding","Q12912","41","GC12P043304","5.86511182785034","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRAG2"
"LOC106099062","HBB Recombination Region","Functional Element","","11","GC11P012496","5.86452484130859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC106099062"
"SLC13A5","Solute Carrier Family 13 Member 5","Protein Coding","Q86YT5","55","GC17M006684","5.86424016952515","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC13A5"
"DPYSL2","Dihydropyrimidinase Like 2","Protein Coding","Q16555","58","GC08P026514","5.8640308380127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPYSL2"
"RGCC","Regulator Of Cell Cycle","Protein Coding","Q9H4X1","47","GC13P041457","5.86294269561768","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGCC"
"DOCK7","Dedicator Of Cytokinesis 7","Protein Coding","Q96N67","54","GC01M062454","5.86041307449341","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOCK7"
"SLC2A5","Solute Carrier Family 2 Member 5","Protein Coding","P22732","55","GC01M015276","5.85863780975342","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A5"
"PCLO","Piccolo Presynaptic Cytomatrix Protein","Protein Coding","Q9Y6V0","51","GC07M082754","5.85803127288818","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCLO"
"RNF146","Ring Finger Protein 146","Protein Coding","Q9NTX7","47","GC06P127266","5.85678482055664","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF146"
"AIMP1","Aminoacyl TRNA Synthetase Complex Interacting Multifunctional Protein 1","Protein Coding","Q12904","58","GC04P106315","5.85555362701416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIMP1"
"GNAI1","G Protein Subunit Alpha I1","Protein Coding","P63096","60","GC07P088666","5.85482597351074","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAI1"
"EXOSC6","Exosome Component 6","Protein Coding","Q5RKV6","42","GC16M070246","5.85462665557861","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOSC6"
"IFNA17","Interferon Alpha 17","Protein Coding","P01571","43","GC09M021227","5.85428905487061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA17"
"ZMIZ1","Zinc Finger MIZ-Type Containing 1","Protein Coding","Q9ULJ6","54","GC10P079068","5.8537917137146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZMIZ1"
"BRAT1","BRCA1 Associated ATM Activator 1","Protein Coding","Q6PJG6","50","GC07M003582","5.85265350341797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAT1"
"SSRP1","Structure Specific Recognition Protein 1","Protein Coding","Q08945","52","GC11M128683","5.8496561050415","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSRP1"
"HSPE1","Heat Shock Protein Family E (Hsp10) Member 1","Protein Coding","P61604","54","GC02P197501","5.84376096725464","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPE1"
"LOC106096416","KRT18 Locus Control Region","Functional Element","","5","GC12P061841","5.84237003326416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC106096416"
"ANO7","Anoctamin 7","Protein Coding","Q6IWH7","47","GC02P241188","5.84205341339111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANO7"
"PYROXD1","Pyridine Nucleotide-Disulphide Oxidoreductase Domain 1","Protein Coding","Q8WU10","49","GC12P021437","5.84031867980957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYROXD1"
"TCF7L1","Transcription Factor 7 Like 1","Protein Coding","Q9HCS4","51","GC02P085133","5.84021043777466","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF7L1"
"EVC","EvC Ciliary Complex Subunit 1","Protein Coding","P57679","50","GC04P005827","5.83920669555664","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EVC"
"ARL3","ADP Ribosylation Factor Like GTPase 3","Protein Coding","P36405","54","GC10M102673","5.83896684646606","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARL3"
"ACTN1","Actinin Alpha 1","Protein Coding","P12814","62","GC14M068874","5.83878421783447","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTN1"
"UGGT1","UDP-Glucose Glycoprotein Glucosyltransferase 1","Protein Coding","Q9NYU2","49","GC02P128091","5.83838558197021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGGT1"
"BRSK1","BR Serine/Threonine Kinase 1","Protein Coding","Q8TDC3","51","GC19P123705","5.8374547958374","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRSK1"
"H2AC11","H2A Clustered Histone 11","Protein Coding","P0C0S8","44","GC06P146937","5.83705806732178","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2AC11"
"VARS2","Valyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","Q5ST30","54","GC06P144746","5.8352165222168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VARS2"
"SNW1","SNW Domain Containing 1","Protein Coding","Q13573","52","GC14M077717","5.83431529998779","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNW1"
"KCNE1","Potassium Voltage-Gated Channel Subfamily E Regulatory Subunit 1","Protein Coding","P15382","58","GC21M034446","5.83279895782471","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNE1"
"TRIB3","Tribbles Pseudokinase 3","Protein Coding","Q96RU7","54","GC20P000396","5.83180904388428","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIB3"
"WASHC5","WASH Complex Subunit 5","Protein Coding","Q12768","51","GC08M136744","5.83122253417969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WASHC5"
"BNIP3L","BCL2 Interacting Protein 3 Like","Protein Coding","O60238","55","GC08P026383","5.83076906204224","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BNIP3L"
"PGAM1","Phosphoglycerate Mutase 1","Protein Coding","P18669","55","GC10P097426","5.82979011535645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGAM1"
"TATDN1","TatD DNase Domain Containing 1","Protein Coding","Q6P1N9","43","GC08M124488","5.8281831741333","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TATDN1"
"SLC2A9","Solute Carrier Family 2 Member 9","Protein Coding","Q9NRM0","58","GC04M009772","5.8275203704834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A9"
"AGO1","Argonaute RISC Component 1","Protein Coding","Q9UL18","54","GC01P035869","5.82665920257568","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGO1"
"HTRA3","HtrA Serine Peptidase 3","Protein Coding","P83110","45","GC04P008269","5.8254656791687","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTRA3"
"USP22","Ubiquitin Specific Peptidase 22","Protein Coding","Q9UPT9","51","GC17M020999","5.82416248321533","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP22"
"EIF3M","Eukaryotic Translation Initiation Factor 3 Subunit M","Protein Coding","Q7L2H7","50","GC11P032701","5.8229022026062","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF3M"
"SHKBP1","SH3KBP1 Binding Protein 1","Protein Coding","Q8TBC3","47","GC19P040576","5.82090950012207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHKBP1"
"CMBL","Carboxymethylenebutenolidase Homolog","Protein Coding","Q96DG6","47","GC05M010275","5.81959438323975","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CMBL"
"PNPLA1","Patatin Like Phospholipase Domain Containing 1","Protein Coding","Q8N8W4","47","GC06P144905","5.81687593460083","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNPLA1"
"SNRNP200","Small Nuclear Ribonucleoprotein U5 Subunit 200","Protein Coding","O75643","56","GC02M101176","5.81647396087646","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRNP200"
"AOC1","Amine Oxidase Copper Containing 1","Protein Coding","P19801","54","GC07P150824","5.81599807739258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AOC1"
"FASTKD2","FAST Kinase Domains 2","Protein Coding","Q9NYY8","51","GC02P206770","5.81543827056885","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASTKD2"
"H1-5","H1.5 Linker Histone, Cluster Member","Protein Coding","P16401","51","GC06M098180","5.81521701812744","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H1-5"
"ELP4","Elongator Acetyltransferase Complex Subunit 4","Protein Coding","Q96EB1","52","GC11P031509","5.81470537185669","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELP4"
"IFNA10","Interferon Alpha 10","Protein Coding","P01566","47","GC09M022179","5.81219339370728","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA10"
"EXOSC3","Exosome Component 3","Protein Coding","Q9NQT5","55","GC09M037772","5.81163740158081","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOSC3"
"DLX4","Distal-Less Homeobox 4","Protein Coding","Q92988","50","GC17P049968","5.80953788757324","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLX4"
"TNNC1","Troponin C1, Slow Skeletal And Cardiac Type","Protein Coding","P63316","55","GC03M054160","5.80848217010498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNNC1"
"SND1","Staphylococcal Nuclease And Tudor Domain Containing 1","Protein Coding","Q7KZF4","50","GC07P127652","5.80708885192871","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SND1"
"FERMT3","FERM Domain Containing Kindlin 3","Protein Coding","Q86UX7","55","GC11P094478","5.80200481414795","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FERMT3"
"MRPL3","Mitochondrial Ribosomal Protein L3","Protein Coding","P09001","54","GC03M131462","5.80142593383789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL3"
"LPAR4","Lysophosphatidic Acid Receptor 4","Protein Coding","Q99677","52","GC0XP078747","5.80141544342041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPAR4"
"BRDT","Bromodomain Testis Associated","Protein Coding","Q58F21","54","GC01P091949","5.79751825332642","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRDT"
"CSPG4","Chondroitin Sulfate Proteoglycan 4","Protein Coding","Q6UVK1","59","GC15M075674","5.79497814178467","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSPG4"
"ST3GAL4","ST3 Beta-Galactoside Alpha-2,3-Sialyltransferase 4","Protein Coding","Q11206","55","GC11P126355","5.79054832458496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ST3GAL4"
"MSTN","Myostatin","Protein Coding","O14793","59","GC02M190055","5.78938913345337","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSTN"
"MSMP","Microseminoprotein, Prostate Associated","Protein Coding","Q1L6U9","35","GC09M035753","5.78856706619263","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSMP"
"KPNB1","Karyopherin Subunit Beta 1","Protein Coding","Q14974","56","GC17P047649","5.78789091110229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KPNB1"
"MAGEC1","MAGE Family Member C1","Protein Coding","O60732","44","GC0XP141905","5.78518342971802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGEC1"
"H4C1","H4 Clustered Histone 1","Protein Coding","P62805","46","GC06P144546","5.78347587585449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H4C1"
"VSIG4","V-Set And Immunoglobulin Domain Containing 4","Protein Coding","Q9Y279","50","GC0XM066021","5.78005123138428","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VSIG4"
"COX14","Cytochrome C Oxidase Assembly Factor COX14","Protein Coding","Q96I36","50","GC12P061691","5.77869081497192","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX14"
"SEC11A","SEC11 Homolog A, Signal Peptidase Complex Subunit","Protein Coding","P67812","47","GC15M084669","5.77808380126953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC11A"
"RAB3GAP1","RAB3 GTPase Activating Protein Catalytic Subunit 1","Protein Coding","Q15042","53","GC02P135052","5.7770471572876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB3GAP1"
"DCD","Dermcidin","Protein Coding","P81605","45","GC12M054644","5.77640151977539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCD"
"SOX6","SRY-Box Transcription Factor 6","Protein Coding","P35712","56","GC11M015949","5.77548027038574","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX6"
"EPRS1","Glutamyl-Prolyl-TRNA Synthetase 1","Protein Coding","P07814","57","GC01M219969","5.77374649047852","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPRS1"
"CRISP3","Cysteine Rich Secretory Protein 3","Protein Coding","P54108","49","GC06M049727","5.77362251281738","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRISP3"
"UBR4","Ubiquitin Protein Ligase E3 Component N-Recognin 4","Protein Coding","Q5T4S7","52","GC01M019074","5.77060413360596","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBR4"
"PGPEP1","Pyroglutamyl-Peptidase I","Protein Coding","Q9NXJ5","47","GC19P122625","5.76875972747803","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGPEP1"
"PHEX","Phosphate Regulating Endopeptidase X-Linked","Protein Coding","P78562","55","GC0XP022032","5.76859951019287","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHEX"
"WNT9A","Wnt Family Member 9A","Protein Coding","O14904","52","GC01M227920","5.76657629013062","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT9A"
"CNR2","Cannabinoid Receptor 2","Protein Coding","P34972","57","GC01M023870","5.76614570617676","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNR2"
"SPP2","Secreted Phosphoprotein 2","Protein Coding","Q13103","47","GC02P234050","5.76325559616089","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPP2"
"CRTAP","Cartilage Associated Protein","Protein Coding","O75718","54","GC03P033530","5.76279401779175","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRTAP"
"ZFTA","Zinc Finger Translocation Associated","Protein Coding","C9JLR9","39","GC11M132436","5.76264095306396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFTA"
"TILAM","TGF-Beta Induced LncRNA Activating Myofibroblasts","RNA Gene","","18","GC17P123350","5.76260757446289","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TILAM"
"CAVIN3","Caveolae Associated Protein 3","Protein Coding","Q969G5","44","GC11M012771","5.76153564453125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAVIN3"
"SRPRA","SRP Receptor Subunit Alpha","Protein Coding","P08240","47","GC11M130397","5.76130390167236","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRPRA"
"DBN1","Drebrin 1","Protein Coding","Q16643","52","GC05M177456","5.75790357589722","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DBN1"
"TSPAN8","Tetraspanin 8","Protein Coding","P19075","50","GC12M071125","5.75767230987549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPAN8"
"MIR539","MicroRNA 539","RNA Gene","","28","GC14P117927","5.75681829452515","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR539"
"CAPN9","Calpain 9","Protein Coding","O14815","51","GC01P230747","5.7564492225647","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN9"
"HLA-DRB4","Major Histocompatibility Complex, Class II, DR Beta 4","Protein Coding","P13762","37","GC06Mo03851","5.75617074966431","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB4"
"IL4I1","Interleukin 4 Induced 1","Protein Coding","Q96RQ9","51","GC19M097208","5.75497198104858","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4I1"
"RAD18","RAD18 E3 Ubiquitin Protein Ligase","Protein Coding","Q9NS91","52","GC03M008775","5.7541618347168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD18"
"IDE","Insulin Degrading Enzyme","Protein Coding","P14735","61","GC10M092451","5.75372314453125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDE"
"IFRD2","Interferon Related Developmental Regulator 2","Protein Coding","Q12894","45","GC03M050287","5.75157022476196","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFRD2"
"GSTO1","Glutathione S-Transferase Omega 1","Protein Coding","P78417","56","GC10P104235","5.75141716003418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTO1"
"NBR1","NBR1 Autophagy Cargo Receptor","Protein Coding","Q14596","51","GC17P043170","5.74798917770386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBR1"
"RO60","Ro60, Y RNA Binding Protein","Protein Coding","P10155","49","GC01P193059","5.74691867828369","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RO60"
"CDKAL1","CDK5 Regulatory Subunit Associated Protein 1 Like 1","Protein Coding","Q5VV42","52","GC06P020534","5.74689388275146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKAL1"
"RPS4X","Ribosomal Protein S4 X-Linked","Protein Coding","P62701","48","GC0XM072255","5.7466516494751","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS4X"
"TRIM8","Tripartite Motif Containing 8","Protein Coding","Q9BZR9","50","GC10P113132","5.74648857116699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM8"
"NRF1","Nuclear Respiratory Factor 1","Protein Coding","Q16656","56","GC07P129611","5.74593734741211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRF1"
"NAPSA","Napsin A Aspartic Peptidase","Protein Coding","O96009","52","GC19M097253","5.74479866027832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAPSA"
"NOS1AP","Nitric Oxide Synthase 1 Adaptor Protein","Protein Coding","O75052","52","GC01P162069","5.74373722076416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS1AP"
"MIR939","MicroRNA 939","RNA Gene","","24","GC08M144394","5.74280691146851","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR939"
"MUS81","MUS81 Structure-Specific Endonuclease Subunit","Protein Coding","Q96NY9","52","GC11P094665","5.74249172210693","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUS81"
"LOC110408762","CYP17A1 Promoter","Functional Element","","10","GC10P102837","5.74064970016479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110408762"
"USH1C","USH1 Protein Network Component Harmonin","Protein Coding","Q9Y6N9","54","GC11M017990","5.73962211608887","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USH1C"
"ALDH6A1","Aldehyde Dehydrogenase 6 Family Member A1","Protein Coding","Q02252","58","GC14M074117","5.7396035194397","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH6A1"
"KRT16","Keratin 16","Protein Coding","P08779","55","GC17M041609","5.73915195465088","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT16"
"MIP","Major Intrinsic Protein Of Lens Fiber","Protein Coding","P30301","52","GC12M056449","5.73728942871094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIP"
"RPS6KA5","Ribosomal Protein S6 Kinase A5","Protein Coding","O75582","59","GC14M090847","5.73684310913086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KA5"
"RALBP1","RalA Binding Protein 1","Protein Coding","Q15311","51","GC18P009465","5.73625564575195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RALBP1"
"EYS","Eyes Shut Homolog","Protein Coding","Q5T1H1","46","GC06M063719","5.73540258407593","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EYS"
"LOC110366354","CYP3A4 5' Regulatory Region","Functional Element","","2","GC07P099784","5.73500776290894","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110366354"
"ALPI","Alkaline Phosphatase, Intestinal","Protein Coding","P09923","60","GC02P232456","5.73153591156006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALPI"
"ETHE1","ETHE1 Persulfide Dioxygenase","Protein Coding","O95571","55","GC19M043506","5.72999095916748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETHE1"
